Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/ig.xml	93433	-	0	0	0	0	0	0	22	88	0	0	0	0	1	0	0	2	0	0	400	27	0	0	0	20	0	27
input/examples/address-example0.xml	990	20	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0
input/examples/address-example1.xml	408	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	3	0	0	0	0	0	0
input/examples/address-example2.xml	571	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0
input/examples/address-example3.xml	2522	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	1
input/examples/allergyintolerance-example0.xml	1354	6	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0
input/examples/allergyintolerance-example1.xml	1920	8	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
input/examples/allergyintolerance-example2.xml	2135	7	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0
input/examples/allergyintolerance-example3.xml	1116	6	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0
input/examples/bodystructure-example0.xml	815	5	0	0	0	0	0	0	0	426	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
input/examples/bodystructure-example1.xml	738	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0
input/examples/bundle-example0.xml	65560	96	38	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	84	22	0	0	1	0	0	3
input/examples/composition-different-authors.xml	2378	12	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0
input/examples/composition-example0.xml	1383	9	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0
input/examples/composition-multiple-information-recipients.xml	1735	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0
input/examples/condition-example0.xml	1022	8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
input/examples/coverage-dva.xml	1587	14	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	1
input/examples/coverage-private.xml	1515	11	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0
input/examples/device-example1.xml	1491	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
input/examples/encounter-example0.xml	661	5	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0
input/examples/encounter-example1.xml	2572	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0
input/examples/endpoint-example0.xml	4803	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
input/examples/endpoint-example1.xml	2786	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0
input/examples/healthcareservice-example0.xml	2296	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0
input/examples/healthcareservice-example1.xml	2825	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0
input/examples/healthcareservice-example2.xml	896	10	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0
input/examples/healthcareservice-example3.xml	4417	13	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0
input/examples/healthcareservice-example4.xml	3123	9	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0
input/examples/healthcareservice-example5.xml	1552	8	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0
input/examples/immunization-example0.xml	1176	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	8	0	0	0	0	0	0
input/examples/immunization-example1.xml	639	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0
input/examples/immunization-example2.xml	1728	6	0	0	0	0	0	0	1	874	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0
input/examples/immunization-example3.xml	2662	8	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	2	0	0	0	0	0	0
input/examples/list-example0.xml	1534	7	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	5	19	0	0	0	0	0	0
input/examples/list-example1.xml	991	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0
input/examples/list-example2.xml	17575	22	0	0	1	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	19	8	0	0	0	0	0	1
input/examples/list-example3.xml	1313	9	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0
input/examples/location-example0.xml	666	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0
input/examples/location-example1.xml	607	7	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0
input/examples/location-example2.xml	1900	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0
input/examples/location-example3.xml	794	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0
input/examples/location-example4.xml	594	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0
input/examples/location-example5.xml	544	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0
input/examples/location-example6.xml	547	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0
input/examples/location-example7.xml	556	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0
input/examples/location-example8.xml	799	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0
input/examples/location-example9.xml	770	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0
input/examples/medication-BrandProductwithBatchDetails0.xml	2059	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0
input/examples/medication-BrandedPack0.xml	2549	7	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
input/examples/medication-BrandedPack1.xml	1655	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0
input/examples/medication-BrandedPackSingleActiveIngredient0.xml	1585	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	3	0	0	0	0	0	0
input/examples/medication-DoseBased.xml	1476	8	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0
input/examples/medication-FourOrMoreActiveIngredientsProduct0.xml	5353	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	0	0	0	0
