URL,Version,Status,OIDs,Name,Title,Description,Used
http://pbs.gov.au/code/item,6.0.1-ci-build,active,,PBSItemCodes,PBS Item Codes,"This CodeSystem resource represents the items listed on the Australian Pharmaceutical Benefits Scheme (PBS) schedule published by the Department of Health. Codes are represented as five or six characters in format (n)nnnna and the display is the PBS prescribing rule preferred term. This is not the canonical publication of this code system nor it is intended to be publication on behalf of the Department of Health. For the complete content of the code system contact the publisher.",
http://terminology.hl7.org.au/CodeSystem/au-digital-health-source-system,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.1.4.36",AustralianDigitalHealthSourceSystem,Australian Digital Health Source System,"The Australian Digital Health Source System code system defines concepts that represent Australian digital health sources. These concepts may be used to represent which system clinical and/or administrative information is sourced.",
http://terminology.hl7.org.au/CodeSystem/communication-request-category,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.1.4.37",CommunicationRequestCategory,Communication Request Category,"The Communication Request Category code system defines concepts that represent the category for a communication request.",
http://terminology.hl7.org.au/CodeSystem/contact-purpose,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.1.4.19",ContactPurpose,Contact Purpose,"Purpose for associated contact information.",
http://terminology.hl7.org.au/CodeSystem/location-physical-type,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.1.4.25",LocationTypePhysicalAU,Location Type (Physical) AU,"Additional concept codes for location physical type defined for use in Australian context. These codes are used as extensions to the HL7 International code set.",
http://terminology.hl7.org.au/CodeSystem/location-type,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.1.4.26",LocationType,Location Type AU,"Additional concept codes for location type defined for use in an Australian context. These codes are used as extensions to the HL7 International code set.",
http://terminology.hl7.org.au/CodeSystem/medication-type,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.1.4.1",MedicationType,Medication Type,"The Medication Type code system defines concepts in a classification scheme for medication coding. The classification scheme defines the nature of the properties defined by the code e.g. branded product with no strength or form. This allows the distinction between codes provided containing container, pack, strength and form explicitly especially where terminologies supplied are unknown or terminology services are unavailable.",
http://terminology.hl7.org.au/CodeSystem/medicine-item-change,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.1.4.6",MedicineItemChange,Medicine Item Change,"The Medicine Item Change code system defines concepts that identify a change that has been made, or is recommended to be made, to a medicine item.",
http://terminology.hl7.org.au/CodeSystem/name-context,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.1.4.31",NameContext,Name Context,"The Name Context code system defines concepts describing usage of names. This provides well known concepts that can be used to indicate usage to achieve an associated purpose e.g. identifier validation.",
http://terminology.hl7.org.au/CodeSystem/resource-tag,6.0.1-ci-build,active,"22.16.840.1.113883.2.3.4.1.4.35",ResourceTag,Resource Tag,"The Resource Tag code system defines concepts that represent tag values for labelling resources.",
http://terminology.hl7.org.au/CodeSystem/rsg-source-document-type,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.1.4.30",AURecordedSexOrGenderSourceDocumentType,AU Recorded Sex or Gender Source Document Type,"The AU Recorded Sex or Gender Source Document Type code system defines concepts that represent the type of document where this sex or gender value is recorded.",
http://terminology.hl7.org.au/CodeSystem/rsg-type,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.1.4.29",AURecordedSexOrGenderType,AU Recorded Sex or Gender Type,"The AU Recorded Sex or Gender Type code system defines concepts that represent the type or category of sex or gender that is recorded.",
