Fragment,Count,Time (ms),Size (bytes)
Canonical.summary,4,1,5161
Canonical.summary-table,4,5,5161
CodeSystem.changes,19,0,3501
CodeSystem.content,19,47,55628
CodeSystem.nsinfo,19,25,0
CodeSystem.summary,19,7,33729
CodeSystem.summary-table,19,7,33729
CodeSystem.xref,19,7,5723
Cross.canonical-index,1,0,33681
Cross.codesystem-list,1,1,6990
Cross.codesystem-ref-all-list,1,6,56672
Cross.codesystem-ref-list,1,3,15825
Cross.cross-version-analysis,1,0,277
Cross.cross-version-analysis-inline,1,0,268
Cross.deleted-extensions,1,1,13
Cross.dependency-table,1,1256,31439
Cross.dependency-table-nontech,1,355,4716
Cross.dependency-table-short,1,325,22130
Cross.deprecated-list,1,10,8452
Cross.expansion-params,1,0,179
Cross.extension-list,1,3,38200
Cross.extension-list-,212,55,690882
Cross.extension-search,36,1,885
Cross.extension-search-list,151,1,4433
Cross.globals-table,1,0,64
Cross.ip-statements,1,31,51731
Cross.list-accounts,1,0,0
Cross.list-accounts-json,1,1,0
Cross.list-accounts-xml,1,1,0
Cross.list-activitydefinitions,1,0,0
Cross.list-activitydefinitions-json,1,0,0
Cross.list-activitydefinitions-xml,1,1,0
Cross.list-actordefinitions,1,0,0
Cross.list-actordefinitions-json,1,1,0
Cross.list-actordefinitions-xml,1,1,0
Cross.list-adverseevents,1,0,0
Cross.list-adverseevents-json,1,1,0
Cross.list-adverseevents-xml,1,1,0
Cross.list-allergyintolerances,1,0,692
Cross.list-allergyintolerances-json,1,0,712
Cross.list-allergyintolerances-xml,1,1,708
Cross.list-appointmentresponses,1,0,0
Cross.list-appointmentresponses-json,1,0,0
Cross.list-appointmentresponses-xml,1,0,0
Cross.list-appointments,1,0,0
Cross.list-appointments-json,1,1,0
Cross.list-appointments-xml,1,1,0
Cross.list-auditevents,1,0,0
Cross.list-auditevents-json,1,1,0
Cross.list-auditevents-xml,1,1,0
Cross.list-basics,1,0,0
Cross.list-basics-json,1,1,0
Cross.list-basics-xml,1,1,0
Cross.list-binaries,1,0,0
Cross.list-binaries-json,1,1,0
