URL,Version,Status,OIDs,Name,Title,Description,Used
http://loinc.org,2.82,active,,LOINC,,"This is a place holder for the code system which is fully supported through internal means (not by this code system)","ValueSet/e554fb49-4c23-4db5-9694-65a328d08eed,ValueSet/517fe266-379b-4f86-8c2f-72a04791aad7,ValueSet/rsg-type,ValueSet/2940bcfd-653c-4cc0-a47d-d5af4b7ee248,ValueSet/rsg-source-document-type,ValueSet/8a6d336e-cc79-4991-8390-6bdaf1d70771"
http://pbs.gov.au/code/item,6.0.1-ci-build,active,,PBSItemCodes,PBS Item Codes,"This CodeSystem resource represents the items listed on the Australian Pharmaceutical Benefits Scheme (PBS) schedule published by the Department of Health. Codes are represented as five or six characters in format (n)nnnna and the display is the PBS prescribing rule preferred term. This is not the canonical publication of this code system nor it is intended to be publication on behalf of the Department of Health. For the complete content of the code system contact the publisher.","ValueSet/pbs-item"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/related-person-relationship-type-1,ValueSet/reason-vaccine-not-administered-3,ValueSet/13e3a5fc-3610-451a-94a5-3639e9a183ca,ValueSet/additional-instruction-codes,ValueSet/medication-ingredient-1,ValueSet/medication-form-1,ValueSet/specimen-collection-procedure-1,ValueSet/practitioner-role-1,ValueSet/1b567f58-11fa-4895-8a7f-6130f6989ee1,ValueSet/imaging-anatomic-region-of-interest-1,ValueSet/adverse-reaction-clinical-manifestation-1,ValueSet/procedure-1,ValueSet/immunisation-route-of-administration-1,ValueSet/substance-1,ValueSet/encounter-type-1,ValueSet/body-site-relative-site-qualifier-1,ValueSet/reason-for-encounter-1,ValueSet/rsg-type,ValueSet/contact-relationship-type-3,ValueSet/imaging-procedure-1,ValueSet/bodystructure-code,ValueSet/specimen-container-type-1,ValueSet/reason-vaccine-administered-1,ValueSet/australian-medication-use-1,ValueSet/amt-mp-codes,ValueSet/clinical-condition-1,ValueSet/specimen-type-1,ValueSet/australian-medication-1,ValueSet/amt-vaccine-1,ValueSet/adverse-reaction-agent-1,ValueSet/route-of-administration-1,ValueSet/medicine-substitution-reason-1,ValueSet/640ce489-9321-4bf4-b964-29eea7a60203,ValueSet/clinical-finding-1,ValueSet/body-site-1,ValueSet/immunisation-anatomical-site-1,ValueSet/service-type-1,ValueSet/vaccination-target-disease-1,ValueSet/assertion-of-absence-1,ValueSet/administration-method-codes,ValueSet/evaluation-procedure-1,ValueSet/medication-reason-taken-1,ValueSet/reason-for-request-1"
http://terminology.hl7.org.au/CodeSystem/au-digital-health-source-system,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.1.4.36",AustralianDigitalHealthSourceSystem,Australian Digital Health Source System,"The Australian Digital Health Source System code system defines concepts that represent Australian digital health sources. These concepts may be used to represent which system clinical and/or administrative information is sourced.","ValueSet/rsg-source"
http://terminology.hl7.org.au/CodeSystem/contact-purpose,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.1.4.19",ContactPurpose,Contact Purpose,"Purpose for associated contact information.","ValueSet/contact-purpose"
http://terminology.hl7.org.au/CodeSystem/location-physical-type,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.1.4.25",LocationTypePhysicalAU,Location Type (Physical) AU,"Additional concept codes for location physical type defined for use in Australian context. These codes are used as extensions to the HL7 International code set.","ValueSet/au-location-physical-type-extended"
http://terminology.hl7.org.au/CodeSystem/location-type,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.1.4.26",LocationType,Location Type AU,"Additional concept codes for location type defined for use in an Australian context. These codes are used as extensions to the HL7 International code set.","ValueSet/au-v3-ServiceDeliveryLocationRoleType-extended"
http://terminology.hl7.org.au/CodeSystem/medication-type,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.1.4.1",MedicationType,Medication Type,"The Medication Type code system defines concepts in a classification scheme for medication coding. The classification scheme defines the nature of the properties defined by the code e.g. branded product with no strength or form. This allows the distinction between codes provided containing container, pack, strength and form explicitly especially where terminologies supplied are unknown or terminology services are unavailable.","ValueSet/medication-type"
http://terminology.hl7.org.au/CodeSystem/medicine-item-change,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.1.4.6",MedicineItemChange,Medicine Item Change,"The Medicine Item Change code system defines concepts that identify a change that has been made, or is recommended to be made, to a medicine item.","ValueSet/medicine-item-change"
http://terminology.hl7.org.au/CodeSystem/name-context,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.1.4.31",NameContext,Name Context,"The Name Context code system defines concepts describing usage of names. This provides well known concepts that can be used to indicate usage to achieve an associated purpose e.g. identifier validation.","ValueSet/name-context"
http://terminology.hl7.org.au/CodeSystem/rsg-source-document-type,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.1.4.30",AURecordedSexOrGenderSourceDocumentType,AU Recorded Sex or Gender Source Document Type,"The AU Recorded Sex or Gender Source Document Type code system defines concepts that represent the type of document where this sex or gender value is recorded.","ValueSet/rsg-source-document-type"
http://terminology.hl7.org.au/CodeSystem/rsg-type,6.0.1-ci-build,active,"2.16.840.1.113883.2.3.4.1.4.29",AURecordedSexOrGenderType,AU Recorded Sex or Gender Type,"The AU Recorded Sex or Gender Type code system defines concepts that represent the type or category of sex or gender that is recorded.","ValueSet/rsg-type"
